EMPCT;opc1;opc1desc;opc2;opc2d
53;5;Quimica (I);13;Engenharia de Alimentos (I)
54;5;Quimica (I);50;Quimica Tecnologica (N)
55;5;Quimica (I);6;Ciencias Biologicas (I)
56;5;Quimica (I);63;Farmacia (I)
57;5;Quimica (I);56;Licenciatura Integrada Quimica/Fisica (N)
58;5;Quimica (I);56;Licenciatura Integrada Quimica/Fisica (N)
59;5;Quimica (I);50;Quimica Tecnologica (N)
60;5;Quimica (I);50;Quimica Tecnologica (N)
61;5;Quimica (I);50;Quimica Tecnologica (N)
62;5;Quimica (I);50;Quimica Tecnologica (N)
63;6;Ciencias Biologicas (I);27;Educacao Fisica (I)
64;6;Ciencias Biologicas (I);8;Engenharia Agricola (I)
65;6;Ciencias Biologicas (I);15;Medicina (I)
66;6;Ciencias Biologicas (I);46;Ciencias Biologicas - Licenciatura (N)
67;6;Ciencias Biologicas (I);17;Ciencias Economicas (I)
68;6;Ciencias Biologicas (I);21;Enfermagem (I)
69;6;Ciencias Biologicas (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
70;6;Ciencias Biologicas (I);109;Administracao (N)
71;6;Ciencias Biologicas (I);46;Ciencias Biologicas - Licenciatura (N)
72;6;Ciencias Biologicas (I);;
73;6;Ciencias Biologicas (I);19;Historia (I)
74;6;Ciencias Biologicas (I);27;Educacao Fisica (I)
75;6;Ciencias Biologicas (I);7;Letras - Licenciatura (I)
76;6;Ciencias Biologicas (I);46;Ciencias Biologicas - Licenciatura (N)
77;6;Ciencias Biologicas (I);19;Historia (I)
78;6;Ciencias Biologicas (I);53;Geologia (I)
79;6;Ciencias Biologicas (I);46;Ciencias Biologicas - Licenciatura (N)
80;6;Ciencias Biologicas (I);46;Ciencias Biologicas - Licenciatura (N)
81;6;Ciencias Biologicas (I);14;Odontologia (I)
82;6;Ciencias Biologicas (I);46;Ciencias Biologicas - Licenciatura (N)
83;6;Ciencias Biologicas (I);89;Engenharia Ambiental (N)
84;6;Ciencias Biologicas (I);8;Engenharia Agricola (I)
85;6;Ciencias Biologicas (I);2;Estatistica (I)
86;6;Ciencias Biologicas (I);54;Geografia (I)
87;6;Ciencias Biologicas (I);13;Engenharia de Alimentos (I)
88;6;Ciencias Biologicas (I);63;Farmacia (I)
89;6;Ciencias Biologicas (I);42;Ciencia da Computacao (N)
90;6;Ciencias Biologicas (I);27;Educacao Fisica (I)
91;7;Letras - Licenciatura (I);57;Letras - Licenciatura (N)
92;7;Letras - Licenciatura (I);57;Letras - Licenciatura (N)
93;7;Letras - Licenciatura (I);57;Letras - Licenciatura (N)
94;7;Letras - Licenciatura (I);57;Letras - Licenciatura (N)
95;7;Letras - Licenciatura (I);57;Letras - Licenciatura (N)
96;7;Letras - Licenciatura (I);57;Letras - Licenciatura (N)
97;7;Letras - Licenciatura (I);57;Letras - Licenciatura (N)
98;7;Letras - Licenciatura (I);57;Letras - Licenciatura (N)
99;7;Letras - Licenciatura (I);57;Letras - Licenciatura (N)
100;7;Letras - Licenciatura (I);20;Pedagogia - Licenciatura (I)
101;7;Letras - Licenciatura (I);14;Odontologia (I)
102;7;Letras - Licenciatura (I);57;Letras - Licenciatura (N)
103;7;Letras - Licenciatura (I);20;Pedagogia - Licenciatura (I)
104;8;Engenharia Agricola (I);10;Engenharia Mecanica (I)
105;8;Engenharia Agricola (I);2;Estatistica (I)
106;8;Engenharia Agricola (I);10;Engenharia Mecanica (I)
107;8;Engenharia Agricola (I);43;Engenharia de Alimentos (N)
108;8;Engenharia Agricola (I);38;Pedagogia - Licenciatura (N)
109;8;Engenharia Agricola (I);188;Engenharia de Telecomunicacoes (I)
110;8;Engenharia Agricola (I);2;Estatistica (I)
111;8;Engenharia Agricola (I);2;Estatistica (I)
112;8;Engenharia Agricola (I);188;Engenharia de Telecomunicacoes (I)
113;8;Engenharia Agricola (I);109;Administracao (N)
114;8;Engenharia Agricola (I);58;Fonoaudiologia (I)
115;8;Engenharia Agricola (I);2;Estatistica (I)
116;8;Engenharia Agricola (I);54;Geografia (I)
117;8;Engenharia Agricola (I);89;Engenharia Ambiental (N)
118;8;Engenharia Agricola (I);2;Estatistica (I)
119;9;Engenharia Quimica (I);39;Engenharia Quimica (N)
120;9;Engenharia Quimica (I);39;Engenharia Quimica (N)
121;9;Engenharia Quimica (I);39;Engenharia Quimica (N)
122;9;Engenharia Quimica (I);39;Engenharia Quimica (N)
123;9;Engenharia Quimica (I);5;Quimica (I)
124;9;Engenharia Quimica (I);39;Engenharia Quimica (N)
125;9;Engenharia Quimica (I);39;Engenharia Quimica (N)
126;9;Engenharia Quimica (I);34;Engenharia de Computacao (I)
127;9;Engenharia Quimica (I);39;Engenharia Quimica (N)
128;9;Engenharia Quimica (I);39;Engenharia Quimica (N)
129;9;Engenharia Quimica (I);39;Engenharia Quimica (N)
130;9;Engenharia Quimica (I);5;Quimica (I)
131;9;Engenharia Quimica (I);39;Engenharia Quimica (N)
132;9;Engenharia Quimica (I);10;Engenharia Mecanica (I)
133;9;Engenharia Quimica (I);39;Engenharia Quimica (N)
134;9;Engenharia Quimica (I);13;Engenharia de Alimentos (I)
135;10;Engenharia Mecanica (I);49;Engenharia de Controle e Automacao (N)
136;10;Engenharia Mecanica (I);11;Engenharia Eletrica (I)
137;10;Engenharia Mecanica (I);9;Engenharia Quimica (I)
138;10;Engenharia Mecanica (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
139;10;Engenharia Mecanica (I);101;Engenharia de Manufatura (I)
140;10;Engenharia Mecanica (I);13;Engenharia de Alimentos (I)
141;10;Engenharia Mecanica (I);49;Engenharia de Controle e Automacao (N)
142;10;Engenharia Mecanica (I);49;Engenharia de Controle e Automacao (N)
143;10;Engenharia Mecanica (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
144;10;Engenharia Mecanica (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
145;10;Engenharia Mecanica (I);101;Engenharia de Manufatura (I)
146;10;Engenharia Mecanica (I);102;Engenharia de Producao (I)
147;10;Engenharia Mecanica (I);2;Estatistica (I)
148;10;Engenharia Mecanica (I);8;Engenharia Agricola (I)
149;10;Engenharia Mecanica (I);8;Engenharia Agricola (I)
150;10;Engenharia Mecanica (I);19;Historia (I)
151;10;Engenharia Mecanica (I);39;Engenharia Quimica (N)
152;10;Engenharia Mecanica (I);12;Engenharia Civil (I)
153;10;Engenharia Mecanica (I);37;Tecnologia em Construcao de Edificios (N)
154;10;Engenharia Mecanica (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
155;10;Engenharia Mecanica (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
156;10;Engenharia Mecanica (I);8;Engenharia Agricola (I)
157;10;Engenharia Mecanica (I);6;Ciencias Biologicas (I)
158;10;Engenharia Mecanica (I);40;Fisica - Licenciatura (N)
159;10;Engenharia Mecanica (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
160;10;Engenharia Mecanica (I);49;Engenharia de Controle e Automacao (N)
161;11;Engenharia Eletrica (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
162;11;Engenharia Eletrica (I);49;Engenharia de Controle e Automacao (N)
163;11;Engenharia Eletrica (I);41;Engenharia Eletrica (N)
164;11;Engenharia Eletrica (I);49;Engenharia de Controle e Automacao (N)
165;11;Engenharia Eletrica (I);17;Ciencias Economicas (I)
166;11;Engenharia Eletrica (I);41;Engenharia Eletrica (N)
167;11;Engenharia Eletrica (I);34;Engenharia de Computacao (I)
168;11;Engenharia Eletrica (I);41;Engenharia Eletrica (N)
169;11;Engenharia Eletrica (I);6;Ciencias Biologicas (I)
170;11;Engenharia Eletrica (I);8;Engenharia Agricola (I)
171;11;Engenharia Eletrica (I);34;Engenharia de Computacao (I)
172;11;Engenharia Eletrica (I);188;Engenharia de Telecomunicacoes (I)
173;11;Engenharia Eletrica (I);41;Engenharia Eletrica (N)
174;11;Engenharia Eletrica (I);86;Estudos Literarios (I)
175;11;Engenharia Eletrica (I);41;Engenharia Eletrica (N)
176;11;Engenharia Eletrica (I);41;Engenharia Eletrica (N)
177;11;Engenharia Eletrica (I);2;Estatistica (I)
178;12;Engenharia Civil (I);102;Engenharia de Producao (I)
179;12;Engenharia Civil (I);89;Engenharia Ambiental (N)
180;12;Engenharia Civil (I);17;Ciencias Economicas (I)
181;12;Engenharia Civil (I);102;Engenharia de Producao (I)
182;12;Engenharia Civil (I);9;Engenharia Quimica (I)
183;12;Engenharia Civil (I);8;Engenharia Agricola (I)
184;12;Engenharia Civil (I);37;Tecnologia em Construcao de Edificios (N)
185;12;Engenharia Civil (I);9;Engenharia Quimica (I)
186;12;Engenharia Civil (I);37;Tecnologia em Construcao de Edificios (N)
187;12;Engenharia Civil (I);109;Administracao (N)
188;12;Engenharia Civil (I);102;Engenharia de Producao (I)
189;12;Engenharia Civil (I);17;Ciencias Economicas (I)
190;12;Engenharia Civil (I);109;Administracao (N)
191;12;Engenharia Civil (I);101;Engenharia de Manufatura (I)
192;12;Engenharia Civil (I);8;Engenharia Agricola (I)
193;12;Engenharia Civil (I);27;Educacao Fisica (I)
194;12;Engenharia Civil (I);109;Administracao (N)
195;12;Engenharia Civil (I);6;Ciencias Biologicas (I)
196;12;Engenharia Civil (I);53;Geologia (I)
197;12;Engenharia Civil (I);34;Engenharia de Computacao (I)
198;12;Engenharia Civil (I);109;Administracao (N)
199;12;Engenharia Civil (I);10;Engenharia Mecanica (I)
200;12;Engenharia Civil (I);102;Engenharia de Producao (I)
201;12;Engenharia Civil (I);37;Tecnologia em Construcao de Edificios (N)
202;12;Engenharia Civil (I);15;Medicina (I)
203;12;Engenharia Civil (I);102;Engenharia de Producao (I)
204;12;Engenharia Civil (I);39;Engenharia Quimica (N)
205;12;Engenharia Civil (I);11;Engenharia Eletrica (I)
206;12;Engenharia Civil (I);2;Estatistica (I)
207;13;Engenharia de Alimentos (I);43;Engenharia de Alimentos (N)
208;13;Engenharia de Alimentos (I);43;Engenharia de Alimentos (N)
209;13;Engenharia de Alimentos (I);43;Engenharia de Alimentos (N)
210;13;Engenharia de Alimentos (I);44;Ciencias Sociais (N)
211;13;Engenharia de Alimentos (I);43;Engenharia de Alimentos (N)
212;13;Engenharia de Alimentos (I);8;Engenharia Agricola (I)
213;13;Engenharia de Alimentos (I);43;Engenharia de Alimentos (N)
214;13;Engenharia de Alimentos (I);43;Engenharia de Alimentos (N)
215;13;Engenharia de Alimentos (I);43;Engenharia de Alimentos (N)
216;13;Engenharia de Alimentos (I);94;Sistemas de Informacao (I)
217;13;Engenharia de Alimentos (I);43;Engenharia de Alimentos (N)
218;13;Engenharia de Alimentos (I);27;Educacao Fisica (I)
219;13;Engenharia de Alimentos (I);43;Engenharia de Alimentos (N)
220;13;Engenharia de Alimentos (I);43;Engenharia de Alimentos (N)
221;13;Engenharia de Alimentos (I);12;Engenharia Civil (I)
222;13;Engenharia de Alimentos (I);43;Engenharia de Alimentos (N)
223;14;Odontologia (I);5;Quimica (I)
224;14;Odontologia (I);107;Nutricao (I)
225;14;Odontologia (I);21;Enfermagem (I)
226;14;Odontologia (I);107;Nutricao (I)
227;14;Odontologia (I);21;Enfermagem (I)
228;14;Odontologia (I);19;Historia (I)
229;14;Odontologia (I);107;Nutricao (I)
230;14;Odontologia (I);15;Medicina (I)
231;14;Odontologia (I);15;Medicina (I)
232;14;Odontologia (I);107;Nutricao (I)
233;14;Odontologia (I);;
234;14;Odontologia (I);10;Engenharia Mecanica (I)
235;14;Odontologia (I);58;Fonoaudiologia (I)
236;14;Odontologia (I);58;Fonoaudiologia (I)
237;14;Odontologia (I);58;Fonoaudiologia (I)
238;14;Odontologia (I);5;Quimica (I)
239;14;Odontologia (I);6;Ciencias Biologicas (I)
240;14;Odontologia (I);15;Medicina (I)
241;14;Odontologia (I);63;Farmacia (I)
242;14;Odontologia (I);46;Ciencias Biologicas - Licenciatura (N)
243;14;Odontologia (I);21;Enfermagem (I)
244;14;Odontologia (I);15;Medicina (I)
245;14;Odontologia (I);63;Farmacia (I)
246;14;Odontologia (I);27;Educacao Fisica (I)
247;14;Odontologia (I);100;Ciencias do Esporte (I)
248;15;Medicina (I);47;Ciencias Economicas (N)
249;15;Medicina (I);6;Ciencias Biologicas (I)
250;15;Medicina (I);5;Quimica (I)
251;15;Medicina (I);58;Fonoaudiologia (I)
252;15;Medicina (I);45;Educacao Fisica (N)
253;15;Medicina (I);;
254;15;Medicina (I);14;Odontologia (I)
255;15;Medicina (I);107;Nutricao (I)
256;15;Medicina (I);14;Odontologia (I)
257;15;Medicina (I);;
258;15;Medicina (I);13;Engenharia de Alimentos (I)
259;15;Medicina (I);21;Enfermagem (I)
260;15;Medicina (I);107;Nutricao (I)
261;15;Medicina (I);;
262;15;Medicina (I);6;Ciencias Biologicas (I)
263;15;Medicina (I);14;Odontologia (I)
264;15;Medicina (I);12;Engenharia Civil (I)
265;15;Medicina (I);58;Fonoaudiologia (I)
266;15;Medicina (I);6;Ciencias Biologicas (I)
267;15;Medicina (I);9;Engenharia Quimica (I)
268;15;Medicina (I);46;Ciencias Biologicas - Licenciatura (N)
269;15;Medicina (I);14;Odontologia (I)
270;15;Medicina (I);6;Ciencias Biologicas (I)
271;15;Medicina (I);6;Ciencias Biologicas (I)
272;15;Medicina (I);21;Enfermagem (I)
273;15;Medicina (I);14;Odontologia (I)
274;15;Medicina (I);14;Odontologia (I)
275;15;Medicina (I);9;Engenharia Quimica (I)
276;15;Medicina (I);14;Odontologia (I)
277;15;Medicina (I);;
278;15;Medicina (I);21;Enfermagem (I)
279;15;Medicina (I);63;Farmacia (I)
280;15;Medicina (I);;
281;15;Medicina (I);10;Engenharia Mecanica (I)
282;15;Medicina (I);30;Filosofia (I)
283;15;Medicina (I);107;Nutricao (I)
284;15;Medicina (I);;
285;15;Medicina (I);14;Odontologia (I)
286;15;Medicina (I);12;Engenharia Civil (I)
287;15;Medicina (I);21;Enfermagem (I)
288;15;Medicina (I);14;Odontologia (I)
289;15;Medicina (I);14;Odontologia (I)
290;15;Medicina (I);6;Ciencias Biologicas (I)
291;15;Medicina (I);6;Ciencias Biologicas (I)
292;15;Medicina (I);;
293;15;Medicina (I);14;Odontologia (I)
294;15;Medicina (I);;
295;15;Medicina (I);6;Ciencias Biologicas (I)
296;15;Medicina (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
297;15;Medicina (I);;
298;15;Medicina (I);107;Nutricao (I)
299;15;Medicina (I);6;Ciencias Biologicas (I)
300;15;Medicina (I);9;Engenharia Quimica (I)
301;15;Medicina (I);49;Engenharia de Controle e Automacao (N)
302;15;Medicina (I);21;Enfermagem (I)
303;15;Medicina (I);63;Farmacia (I)
304;15;Medicina (I);47;Ciencias Economicas (N)
305;15;Medicina (I);42;Ciencia da Computacao (N)
306;15;Medicina (I);21;Enfermagem (I)
307;15;Medicina (I);6;Ciencias Biologicas (I)
308;15;Medicina (I);10;Engenharia Mecanica (I)
309;15;Medicina (I);19;Historia (I)
310;15;Medicina (I);63;Farmacia (I)
311;15;Medicina (I);19;Historia (I)
312;15;Medicina (I);107;Nutricao (I)
313;15;Medicina (I);21;Enfermagem (I)
314;15;Medicina (I);21;Enfermagem (I)
315;15;Medicina (I);21;Enfermagem (I)
316;15;Medicina (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
317;15;Medicina (I);58;Fonoaudiologia (I)
318;15;Medicina (I);21;Enfermagem (I)
319;15;Medicina (I);58;Fonoaudiologia (I)
320;15;Medicina (I);21;Enfermagem (I)
321;15;Medicina (I);;
322;15;Medicina (I);102;Engenharia de Producao (I)
323;15;Medicina (I);9;Engenharia Quimica (I)
324;15;Medicina (I);39;Engenharia Quimica (N)
325;15;Medicina (I);6;Ciencias Biologicas (I)
326;15;Medicina (I);14;Odontologia (I)
327;15;Medicina (I);14;Odontologia (I)
328;15;Medicina (I);21;Enfermagem (I)
329;15;Medicina (I);21;Enfermagem (I)
330;15;Medicina (I);58;Fonoaudiologia (I)
331;15;Medicina (I);12;Engenharia Civil (I)
332;15;Medicina (I);107;Nutricao (I)
333;15;Medicina (I);21;Enfermagem (I)
334;15;Medicina (I);10;Engenharia Mecanica (I)
335;15;Medicina (I);21;Enfermagem (I)
336;15;Medicina (I);21;Enfermagem (I)
337;15;Medicina (I);21;Enfermagem (I)
338;15;Medicina (I);107;Nutricao (I)
339;15;Medicina (I);6;Ciencias Biologicas (I)
340;15;Medicina (I);;
341;15;Medicina (I);;
342;15;Medicina (I);8;Engenharia Agricola (I)
343;15;Medicina (I);21;Enfermagem (I)
344;15;Medicina (I);37;Tecnologia em Construcao de Edificios (N)
345;15;Medicina (I);6;Ciencias Biologicas (I)
346;15;Medicina (I);14;Odontologia (I)
347;15;Medicina (I);21;Enfermagem (I)
348;15;Medicina (I);6;Ciencias Biologicas (I)
349;15;Medicina (I);53;Geologia (I)
350;15;Medicina (I);27;Educacao Fisica (I)
351;15;Medicina (I);6;Ciencias Biologicas (I)
352;15;Medicina (I);;
353;15;Medicina (I);19;Historia (I)
354;15;Medicina (I);42;Ciencia da Computacao (N)
355;15;Medicina (I);6;Ciencias Biologicas (I)
356;15;Medicina (I);6;Ciencias Biologicas (I)
357;15;Medicina (I);51;Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I)
358;15;Medicina (I);58;Fonoaudiologia (I)
359;15;Medicina (I);21;Enfermagem (I)
360;15;Medicina (I);64;Comunicacao Social-Midialogia (I)
361;15;Medicina (I);12;Engenharia Civil (I)
362;15;Medicina (I);62;Tecnologia em Saneamento Ambiental (N)
363;15;Medicina (I);5;Quimica (I)
364;15;Medicina (I);14;Odontologia (I)
365;15;Medicina (I);9;Engenharia Quimica (I)
366;15;Medicina (I);17;Ciencias Economicas (I)
367;15;Medicina (I);6;Ciencias Biologicas (I)
368;15;Medicina (I);21;Enfermagem (I)
369;15;Medicina (I);63;Farmacia (I)
370;15;Medicina (I);6;Ciencias Biologicas (I)
371;15;Medicina (I);109;Administracao (N)
372;15;Medicina (I);107;Nutricao (I)
373;15;Medicina (I);39;Engenharia Quimica (N)
374;15;Medicina (I);21;Enfermagem (I)
375;15;Medicina (I);12;Engenharia Civil (I)
376;15;Medicina (I);107;Nutricao (I)
377;15;Medicina (I);21;Enfermagem (I)
378;15;Medicina (I);21;Enfermagem (I)
379;15;Medicina (I);63;Farmacia (I)
380;15;Medicina (I);5;Quimica (I)
381;15;Medicina (I);19;Historia (I)
382;15;Medicina (I);6;Ciencias Biologicas (I)
383;15;Medicina (I);14;Odontologia (I)
384;15;Medicina (I);21;Enfermagem (I)
385;15;Medicina (I);17;Ciencias Economicas (I)
386;15;Medicina (I);63;Farmacia (I)
387;15;Medicina (I);21;Enfermagem (I)
388;15;Medicina (I);14;Odontologia (I)
389;15;Medicina (I);14;Odontologia (I)
390;15;Medicina (I);46;Ciencias Biologicas - Licenciatura (N)
391;15;Medicina (I);39;Engenharia Quimica (N)
392;15;Medicina (I);14;Odontologia (I)
393;15;Medicina (I);63;Farmacia (I)
394;15;Medicina (I);13;Engenharia de Alimentos (I)
395;15;Medicina (I);;
396;15;Medicina (I);14;Odontologia (I)
397;15;Medicina (I);10;Engenharia Mecanica (I)
398;15;Medicina (I);21;Enfermagem (I)
399;15;Medicina (I);63;Farmacia (I)
400;15;Medicina (I);;
401;15;Medicina (I);64;Comunicacao Social-Midialogia (I)
402;15;Medicina (I);6;Ciencias Biologicas (I)
403;15;Medicina (I);;
404;15;Medicina (I);6;Ciencias Biologicas (I)
405;15;Medicina (I);34;Engenharia de Computacao (I)
406;15;Medicina (I);107;Nutricao (I)
407;15;Medicina (I);107;Nutricao (I)
408;15;Medicina (I);14;Odontologia (I)
409;15;Medicina (I);14;Odontologia (I)
410;15;Medicina (I);21;Enfermagem (I)
411;15;Medicina (I);58;Fonoaudiologia (I)
412;15;Medicina (I);;
413;15;Medicina (I);21;Enfermagem (I)
414;15;Medicina (I);107;Nutricao (I)
415;15;Medicina (I);63;Farmacia (I)
416;15;Medicina (I);19;Historia (I)
417;15;Medicina (I);63;Farmacia (I)
418;15;Medicina (I);6;Ciencias Biologicas (I)
419;15;Medicina (I);14;Odontologia (I)
420;15;Medicina (I);14;Odontologia (I)
421;15;Medicina (I);;
422;15;Medicina (I);63;Farmacia (I)
423;15;Medicina (I);5;Quimica (I)
424;15;Medicina (I);;
425;15;Medicina (I);5;Quimica (I)
426;16;Ciencias Sociais (I);44;Ciencias Sociais (N)
427;16;Ciencias Sociais (I);19;Historia (I)
428;16;Ciencias Sociais (I);44;Ciencias Sociais (N)
429;16;Ciencias Sociais (I);100;Ciencias do Esporte (I)
430;16;Ciencias Sociais (I);18;Linguistica (I)
431;16;Ciencias Sociais (I);44;Ciencias Sociais (N)
432;16;Ciencias Sociais (I);86;Estudos Literarios (I)
433;16;Ciencias Sociais (I);44;Ciencias Sociais (N)
434;16;Ciencias Sociais (I);44;Ciencias Sociais (N)
435;17;Ciencias Economicas (I);30;Filosofia (I)
436;17;Ciencias Economicas (I);47;Ciencias Economicas (N)
437;17;Ciencias Economicas (I);47;Ciencias Economicas (N)
438;17;Ciencias Economicas (I);102;Engenharia de Producao (I)
439;17;Ciencias Economicas (I);47;Ciencias Economicas (N)
440;17;Ciencias Economicas (I);13;Engenharia de Alimentos (I)
441;17;Ciencias Economicas (I);;
442;17;Ciencias Economicas (I);47;Ciencias Economicas (N)
443;17;Ciencias Economicas (I);19;Historia (I)
444;17;Ciencias Economicas (I);12;Engenharia Civil (I)
445;17;Ciencias Economicas (I);47;Ciencias Economicas (N)
446;17;Ciencias Economicas (I);19;Historia (I)
447;17;Ciencias Economicas (I);57;Letras - Licenciatura (N)
448;17;Ciencias Economicas (I);16;Ciencias Sociais (I)
449;17;Ciencias Economicas (I);16;Ciencias Sociais (I)
450;17;Ciencias Economicas (I);47;Ciencias Economicas (N)
451;17;Ciencias Economicas (I);19;Historia (I)
452;17;Ciencias Economicas (I);64;Comunicacao Social-Midialogia (I)
453;17;Ciencias Economicas (I);47;Ciencias Economicas (N)
454;17;Ciencias Economicas (I);47;Ciencias Economicas (N)
455;17;Ciencias Economicas (I);47;Ciencias Economicas (N)
456;17;Ciencias Economicas (I);18;Linguistica (I)
457;17;Ciencias Economicas (I);47;Ciencias Economicas (N)
458;17;Ciencias Economicas (I);47;Ciencias Economicas (N)
459;17;Ciencias Economicas (I);110;Administracao Publica (N)
460;17;Ciencias Economicas (I);47;Ciencias Economicas (N)
461;17;Ciencias Economicas (I);47;Ciencias Economicas (N)
462;17;Ciencias Economicas (I);16;Ciencias Sociais (I)
463;17;Ciencias Economicas (I);47;Ciencias Economicas (N)
464;17;Ciencias Economicas (I);101;Engenharia de Manufatura (I)
465;18;Linguistica (I);27;Educacao Fisica (I)
466;18;Linguistica (I);7;Letras - Licenciatura (I)
467;18;Linguistica (I);44;Ciencias Sociais (N)
468;18;Linguistica (I);7;Letras - Licenciatura (I)
469;18;Linguistica (I);16;Ciencias Sociais (I)
470;18;Linguistica (I);38;Pedagogia - Licenciatura (N)
471;18;Linguistica (I);20;Pedagogia - Licenciatura (I)
472;19;Historia (I);36;Tecnologia em Analise e Des. de Sist. (N)
473;19;Historia (I);54;Geografia (I)
474;19;Historia (I);30;Filosofia (I)
475;19;Historia (I);18;Linguistica (I)
476;19;Historia (I);16;Ciencias Sociais (I)
477;19;Historia (I);55;Geografia (N)
478;19;Historia (I);16;Ciencias Sociais (I)
479;19;Historia (I);30;Filosofia (I)
480;19;Historia (I);45;Educacao Fisica (N)
481;19;Historia (I);30;Filosofia (I)
482;19;Historia (I);18;Linguistica (I)
483;19;Historia (I);44;Ciencias Sociais (N)
484;20;Pedagogia - Licenciatura (I);38;Pedagogia - Licenciatura (N)
485;20;Pedagogia - Licenciatura (I);38;Pedagogia - Licenciatura (N)
486;20;Pedagogia - Licenciatura (I);38;Pedagogia - Licenciatura (N)
487;20;Pedagogia - Licenciatura (I);38;Pedagogia - Licenciatura (N)
488;20;Pedagogia - Licenciatura (I);38;Pedagogia - Licenciatura (N)
489;20;Pedagogia - Licenciatura (I);58;Fonoaudiologia (I)
